log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-1.462022498,-0.503052706,0.550801035,-0.630313852,1.046534982,-1.176921942,3.047101792,1.930891713,2.178981021,-0.036201415,-0.255673872,-1.498223913,1.159847753,4.9
-2.873707432,-2.081024014,-0.867282405,-3.398303004,-0.254640243,-3.804223546,1.745578439,0.566415411,0.867737813,-0.220812409,-0.41556174,-3.094519841,1.150123755,3
-2.159824085,-1.245976563,0.000881242,-1.700321277,0.554410005,-2.146742705,2.554518714,1.394696562,1.685037233,-0.406499625,-0.448677937,-2.56632371,1.142707197,3.7
-2.551780775,-1.504166376,-0.208653567,-2.170540253,0.437458401,-2.441090368,2.437752905,1.188119926,1.562394206,-0.51157252,-0.49733294,-3.063353295,1.002996429,3.6
-0.923779894,-0.140228874,1.027179887,0.748439141,1.750511,0.328080691,3.750602157,2.579462089,2.751696456,-0.254310147,-0.369228892,-1.178090041,0.834380408,4.6
-1.801840059,-0.962017034,0.339336899,-0.986022123,0.910984779,-1.338215293,2.911043181,1.706660384,1.987273853,-0.506823935,-0.503174065,-2.308663995,0.835965787,3.6
-1.950884451,-1.079289204,0.192167138,-1.098977486,0.891650793,-1.378475438,2.891785281,1.63882047,1.966856074,-0.553669654,-0.473276473,-2.504554106,0.834380408,3.4
-1.675210213,-0.75234181,0.415459217,-0.571003526,1.019255519,-1.172696344,3.019367283,1.917866602,2.076749559,-0.347147565,-0.369621159,-2.022357778,0.822758344,3.9
-2.577333203,-1.603387145,-0.423489611,-2.466876933,0.309512896,-2.799604581,2.309865338,1.073719219,1.557459753,-0.638632738,-0.381717665,-3.215965941,0.568026016,3
-3.390868349,-2.606668396,-1.357524819,-4.277274817,-0.652230939,-4.521815393,1.348310551,0.082397479,0.711828732,-0.521121932,-0.450963709,-3.911990281,1.350980365,3.1
-1.708069036,-0.891466309,0.338052376,-0.892447972,0.939977705,-1.373503375,2.940333978,1.797456084,1.982157617,-0.193857398,-0.431338816,-1.901926434,0.961270231,4.1
-2.821155778,-1.994000268,-0.826686608,-2.975050536,-0.080608962,-3.44229991,1.919570863,0.751859635,1.151850037,-0.345971842,-0.369133791,-3.16712762,1.149026567,3.2
-3.339115924,-2.748852177,-1.489646495,-5.029898633,-1.020115275,-5.469169976,0.98044979,-0.19789101,0.273405236,-0.14786676,-0.461025814,-3.486982684,1.704103639,3.8
-1.641982321,-0.664912032,0.624950633,-0.631742099,1.19884448,-0.968423907,3.198967317,1.979389737,2.30789851,-0.526164511,-0.491682797,-2.168146832,0.446563828,3.8
