log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.785873895,-1.667843771,-2.953756941,-1.790820061,-8.108513048,-7.598244806,-3.471982132,-1.481132023,-0.096703625,-3.594974618,-6.117547346,-0.039837173,-2.265737809,-0.275985414,44.63548713
-7.631578025,-1.877159708,-2.84566139,-2.181984478,-8.871652698,-8.085495656,-3.921292016,-1.957185183,-0.407694444,-3.988097451,-6.530083634,-0.275731309,-3.374329808,-0.27627065,45.2564321
-7.420850124,-2.566187593,-2.150087665,-1.983463533,-9.203593621,-7.698009534,-3.809871439,-1.739812204,-0.077969719,-3.634236459,-6.31909504,-0.020600878,-2.692228076,-0.380643551,32.76097267
-4.937449839,-0.263520578,-1.79354003,-0.822159726,-6.291954327,-6.437898945,-2.258635863,-0.326861862,1.001146283,-2.594289975,-5.179320835,-0.030227823,-1.125806014,-0.18765918,13.79604256
-5.709814252,-0.716915194,-2.055051775,-1.206988066,-7.264851422,-6.867916619,-2.849246578,-0.843475864,0.547177576,-2.904486581,-5.519227692,-0.28729961,-2.233653845,-0.308743397,13.46070606
-6.459569206,-1.179342682,-2.741893975,-1.640564443,-7.618520539,-7.390865457,-3.288220786,-1.244640571,0.066980871,-3.433111342,-5.94678045,-0.240282013,-2.61168408,-0.420786807,34.96642821
-6.655912507,-2.090308946,-1.981581234,-1.46880666,-8.848297701,-7.204184605,-3.483334373,-1.354678999,0.528212589,-3.220808614,-5.913450885,-0.756962048,-3.895540108,-0.634533062,110.1878695
-7.716470079,-2.041628601,-2.860266588,-2.161680111,-9.444341514,-7.702669613,-4.095746936,-1.979659343,-0.25482731,-3.6023316,-6.343958602,-0.005383501,-2.72112737,-0.400594939,67.3817756
-6.553298292,-1.541653492,-3.007628353,-1.532430841,-8.153311062,-7.504678559,-3.663552759,-1.560885424,0.393399972,-3.131935616,-5.818960444,0.103879006,-1.595706561,-0.185025609,27.96855904
-7.043335145,-2.005773935,-2.79131234,-1.785245954,-8.828866986,-7.649352577,-3.836816496,-1.845261098,0.160983226,-3.255359535,-5.988456429,-0.137798199,-2.434809889,-0.367635565,47.14796269
-7.12363182,-1.65757408,-2.682319451,-1.789963762,-8.979676393,-7.627984115,-3.764922932,-1.675927164,0.152077017,-3.402029674,-6.103346367,-0.078848041,-2.312422539,-0.208541415,33.27733833
-7.561609405,-2.102097692,-2.768584773,-2.040841931,-9.114653348,-7.973430571,-3.971927138,-1.920500839,-0.131589101,-3.775590458,-6.408185494,-0.411693458,-3.491120836,-0.348417897,89.06929065
-8.388801777,-2.380648322,-3.138541871,-2.503635033,-9.803765351,-8.318391316,-4.307716953,-2.355185472,-0.659486778,-4.246439581,-6.856221541,-0.16108412,-3.342802573,-0.426534923,86.5269825
-7.201641196,-1.562092579,-2.65957291,-1.85756259,-8.810270427,-7.738781297,-3.764917391,-1.657321562,-0.075842164,-3.647966604,-6.257748452,-0.430354299,-3.148374217,-0.374365039,27.29979667
-9.674258521,-2.818474485,-5.213416243,-3.235048232,-10.35295292,-8.985767811,-4.588482759,-2.796015873,-1.330890599,-4.82427746,-7.509983553,0.658040791,-0.803199765,-0.014025472,318.9850031
-7.457351186,-1.962975802,-2.648971208,-2.046020207,-8.921840171,-7.818454859,-3.889609678,-1.865831899,-0.234807235,-3.662123879,-6.337871032,-0.381303143,-3.489334082,-0.465012435,23.3014594
-5.504210383,-1.055213824,-1.897397128,-1.069595896,-7.106022732,-6.943420979,-2.925994358,-0.924682011,0.626655037,-2.799605886,-5.40570324,-0.104229947,-1.78545253,-0.293323817,28.6854814
-7.640032272,-1.709795893,-3.200564986,-2.114825511,-9.255436699,-7.823945572,-3.852935463,-1.789334045,-0.364063798,-3.836332695,-6.467666533,-0.366962878,-3.474949965,-0.395929339,30.67920347
-6.524022069,-1.52298966,-2.271143267,-1.579330426,-7.993454501,-7.344501697,-3.311513094,-1.338564059,0.260736941,-3.270306238,-5.911934957,-0.303003317,-2.507763598,-0.359065226,21.48601195
-6.604049786,-1.451027862,-2.666947821,-1.637627054,-8.060503629,-7.397900878,-3.534132468,-1.421848171,0.093329277,-3.332115251,-5.9652932,-0.39518414,-2.987000497,-0.354299818,26.06123964
-7.263901918,-2.038804215,-2.434919669,-1.969509515,-8.589033797,-7.798872722,-3.82332057,-1.706578421,-0.106887792,-3.650694831,-6.298090331,-0.622115676,-3.783006683,-0.548290212,24.00575542
-6.669777187,-1.291962511,-2.507825805,-1.561164384,-8.255532262,-7.308160556,-3.389290856,-1.307176106,0.304014465,-3.31878155,-5.96475422,-0.508320603,-3.293928396,-0.435405605,30.7582407
-5.211943492,-0.830839992,-1.718593903,-0.85118882,-6.532374955,-6.718830707,-2.756705417,-0.751034522,1.065561399,-2.550231439,-5.215548156,-0.164075828,-1.562449076,-0.341112059,22.76167904
-6.485383092,-1.609125274,-1.926804449,-1.437351943,-8.33695597,-7.187658073,-3.46544863,-1.293995194,0.469535662,-3.204261136,-5.853732633,-0.309256708,-2.635552813,-0.361299087,22.99649896
-6.070074325,-1.610977284,-1.601835708,-1.26180898,-7.730988399,-7.140288406,-3.212622372,-1.213373506,0.633520584,-2.978504744,-5.636407962,-0.395699229,-2.625419685,-0.371169806,24.63432275
-6.197370393,-1.433828077,-2.008603004,-1.327605081,-7.768409036,-7.160889625,-3.335818773,-1.224794926,0.561743707,-3.020715333,-5.690885669,-0.223053818,-2.581052086,-0.316136176,27.98049897
-6.138780308,-1.108408089,-2.243919986,-1.299331114,-7.774463509,-7.049243501,-3.063453696,-1.078915841,0.562030747,-3.049503732,-5.693282502,-0.343125861,-2.619162465,-0.337735346,28.46235339
-8.411319127,-2.300366725,-3.039152832,-2.531361592,-9.736988591,-8.232977126,-4.283275432,-2.272401071,-0.683974096,-4.332735405,-6.898551024,-0.527738583,-3.967349783,-0.387900824,97.33867845
-6.19255972,-1.598376938,-1.927902437,-1.371169774,-7.484682225,-7.128360679,-3.325088324,-1.317254479,0.487659107,-3.092191696,-5.734184944,-0.527465127,-2.851579849,-0.45278398,25.03643431
-6.859460699,-1.876816552,-2.246321285,-1.681253582,-8.736763657,-7.493310224,-3.618672972,-1.496457254,0.205669436,-3.310836851,-6.009423667,-0.222902667,-3.22047615,-0.299979002,21.64614888
-7.212754368,-1.888884284,-2.194242533,-1.845422662,-8.927629666,-7.54642848,-3.640618426,-1.572901461,0.09641949,-3.525869261,-6.214864648,-0.428268781,-3.714048215,-0.383568814,26.87807967
-7.03365742,-1.884677309,-2.37012124,-1.783702117,-8.533770531,-7.527214924,-3.654485646,-1.607548549,0.07288454,-3.419732761,-6.09972096,-0.039427938,-2.087398801,-0.229207246,25.1628828
-6.081394403,-1.835474278,-1.261105288,-1.318226784,-8.009701318,-6.843682951,-2.964605053,-0.981856025,0.617510968,-2.95700841,-5.665736092,-0.55875159,-3.308770013,-0.410540858,24.94537251
-5.368678559,-1.462553459,-1.123103427,-1.039313055,-6.955208678,-6.542570255,-2.480999443,-0.542914632,0.844229538,-2.703581438,-5.374925386,-0.650065542,-3.09620361,-0.399330407,24.52950918
-6.435532208,-1.415558513,-1.962583429,-1.492723516,-7.776227396,-7.346036419,-3.404663238,-1.377220575,0.393275006,-3.187051312,-5.842587184,-0.353952956,-2.884560341,-0.447800159,17.84431322
-7.114673284,-1.758523869,-2.311057395,-1.798932314,-8.85387904,-7.494167437,-3.580893443,-1.591417582,0.112007241,-3.465318252,-6.152308954,-0.267017499,-2.741801363,-0.468578965,60.30671989
-7.212018788,-1.701979803,-2.735182146,-1.838462055,-8.684334156,-7.685948424,-3.714667354,-1.752607666,0.046143405,-3.663015507,-6.263940256,-0.245316796,-3.209745811,-0.476606701,36.9865294
-5.220058654,-0.989973012,-1.437266542,-0.997160745,-6.602382879,-6.67857421,-2.591818704,-0.638907385,0.777465763,-2.734986537,-5.345272332,-0.61874439,-2.748919664,-0.497450365,24.77893595
-6.816941502,-1.979885571,-2.462486375,-1.711862333,-8.667772704,-7.666043501,-3.721754079,-1.63778778,0.066256987,-3.500819554,-6.075206276,0.112018419,-2.265078262,-0.254075741,77.00485034
-5.589510023,-1.407164643,-1.729395603,-1.046797554,-7.423902828,-6.926487237,-3.015264936,-0.94698189,0.814936486,-2.862227088,-5.452490331,0.129903851,-1.836489092,-0.315361369,30.33359755
-5.683059951,-1.186308972,-1.869148768,-1.09080455,-7.453288387,-7.071903857,-3.196605895,-1.117910415,0.805031472,-2.892516801,-5.49180008,-0.212102554,-2.852912168,-0.358677841,12.00074599
-6.75027976,-1.858803136,-2.305801916,-1.655034356,-8.376830431,-7.59825677,-3.623188223,-1.609928937,0.188744382,-3.510044121,-6.053633288,-0.327208992,-3.20015037,-0.400908049,28.61270023
-4.275652659,-0.385994835,-1.100576,-0.478255752,-5.916982454,-6.311500406,-2.304970782,-0.246549493,1.385837507,-2.268680032,-4.854268092,-0.256850317,-1.823628712,-0.40066005,12.17089683
